fname,info_sample
ENC-1K2DA-044-SM-A62E9_snATAC_upper_lobe_of_left_lung_Rep1.demultiplexed.R1.fastq.gz.telo,lung_SM-A62E9_1
ENC-1LGRB-249-SM-A62GO_snATAC_peyer_s_patch_Rep1.demultiplexed.R1.fastq.gz.telo,small_intestine_SM-A62GO_1
ENC-1LVAN-244-SM-A87A2_snATAC_uterus_Rep1.demultiplexed.R1.fastq.gz.telo,uterus_SM-A87A2_1
ENC-1JKYN-146-SM-A8CPH_snATAC_esophagus_muscularis_mucosa_Rep1.demultiplexed.R1.fastq.gz.telo,esophagus_muscularis_SM-A8CPH_1
ENC-1LGRB-015-SM-A8WNH_snATAC_upper_lobe_of_left_lung_Rep1.demultiplexed.R1.fastq.gz.telo,lung_SM-A8WNH_1
ENC-1LGRB-030-SM-A8WNO_snATAC_adrenal_gland_Rep1.demultiplexed.R1.fastq.gz.telo,adrenal_gland_SM-A8WNO_1
ENC-1LGRB-069-SM-A8WNZ_snATAC_right_lobe_of_liver_Rep1.demultiplexed.R1.fastq.gz.telo,liver_SM-A8WNZ_1
ENC-1LGRB-181-SM-A9HOR_snATAC_esophagus_squamous_epithelium_Rep1.demultiplexed.R1.fastq.gz.telo,esophagus_mucosa_SM-A9HOR_1
ENC-1LGRB-239-SM-A9HOS_snATAC_vagina_Rep1.demultiplexed.R1.fastq.gz.telo,vagina_SM-A9HOS_1
ENC-1LGRB-194-SM-A9HOW_snATAC_colon_transverse_Rep1.demultiplexed.R1.fastq.gz.telo,colon_transverse_SM-A9HOW_1
ENC-1LVAN-307-SM-A9VP4_snATAC_transverse_colon_Rep1.demultiplexed.R1.fastq.gz.telo,colon_transverse_SM-A9VP4_1
ENC-1LVAN-267-SM-A9VPA_snATAC_esophagus_squamous_epithelium_Rep1.demultiplexed.R1.fastq.gz.telo,esophagus_mucosa_SM-A9VPA_1
ENC-1JKYN-179-SM-ACCPU_snATAC_upper_lobe_of_left_lung_Rep1.demultiplexed.R1.fastq.gz.telo,lung_SM-ACCPU_1
ENC-1JKYN-206-SM-ACCQ1_snATAC_colon_transverse_Rep1.demultiplexed.R1.fastq.gz.telo,colon_transverse_SM-ACCQ1_1
ENC-1K2DA-180-SM-ADA5F_snATAC_peyer_s_patch_Rep1.demultiplexed.R1.fastq.gz.telo,small_intestine_SM-ADA5F_1
ENC-1LGRB-326-SM-ADA6L_snATAC_gastrocnemius_medialis_Rep1.demultiplexed.R1.fastq.gz.telo,muscle_SM-ADA6L_1
ENC-1LVAN-150-SM-ADRUQ_snATAC_body_of_pancreas_Rep1.demultiplexed.R1.fastq.gz.telo,pancreas_SM-ADRUQ_1
ENC-1LVAN-120-SM-ADYHB_snATAC_omental_fat_pad_Rep1.demultiplexed.R1.fastq.gz.telo,adipose_omentum_SM-ADYHB_1
ENC-1LVAN-022-SM-ADYHK_snATAC_lower_leg_skin_Rep1.demultiplexed.R1.fastq.gz.telo,skin_sun_exposed_SM-ADYHK_1
ENC-1K2DA-070-SM-AZPYJ_snATAC_esophagus_squamous_epithelium_Rep1.demultiplexed.R1.fastq.gz.telo,esophagus_mucosa_SM-AZPYJ_1
ENC-1LGRB-260-SM-AZPYO_snATAC_colon_sigmoid_Rep1.demultiplexed.R1.fastq.gz.telo,colon_sigmoid_SM-AZPYO_1
ENC-1LGRB-198-SM-BZ2ZS_snATAC_transverse_colon_Rep1.demultiplexed.R1.fastq.gz.telo,colon_transverse_SM-BZ2ZS_1
ENC-1K2DA-283-SM-C1MKW_snATAC_gastrocnemius_medialis_Rep1.demultiplexed.R1.fastq.gz.telo,muscle_SM-C1MKW_1
ENC-1K2DA-193-SM-C1MKY_snATAC_thyroid_Rep1.demultiplexed.R1.fastq.gz.telo,thyroid_SM-C1MKY_1
ENC-1LGRB-089-SM-C1MLC_snATAC_thoracic_aorta_Rep1.demultiplexed.R1.fastq.gz.telo,artery_aorta_SM-C1MLC_1
ENC-1LVAN-055-SM-C1PWV_snATAC_gastrocnemius_medialis_Rep1.demultiplexed.R1.fastq.gz.telo,muscle_SM-C1PWV_1
ENC-1JKYN-020-SM-C1PX3_snATAC_thoracic_aorta_Rep1.demultiplexed.R1.fastq.gz.telo,artery_aorta_SM-C1PX3_1
ENC-1K2DA-095-SM-CHLWL_snATAC_stomach_Rep1.demultiplexed.R1.fastq.gz.telo,stomach_SM-CHLWL_1
ENC-1K2DA-237-SM-CHLWU_snATAC_tibial_nerve_Rep1.demultiplexed.R1.fastq.gz.telo,nerve_tibial_SM-CHLWU_1
ENC-1K2DA-295-SM-CHLWW_snATAC_tibial_artery_Rep1.demultiplexed.R1.fastq.gz.telo,artery_tibial_SM-CHLWW_1
ENC-1K2DA-137-SM-CHZRM_snATAC_omental_fat_pad_Rep1.demultiplexed.R1.fastq.gz.telo,adipose_omentum_SM-CHZRM_1
ENC-1LVAN-030-SM-CP2V6_snATAC_tibial_nerve_Rep1.demultiplexed.R1.fastq.gz.telo,nerve_tibial_SM-CP2V6_1
ENC-1K2DA-111-SM-CR89M_snATAC_thoracic_aorta_Rep1.demultiplexed.R1.fastq.gz.telo,artery_aorta_SM-CR89M_1
ENC-1LVAN-234-SM-CSSCV_snATAC_esophagus_muscularis_mucosa_Rep1.demultiplexed.R1.fastq.gz.telo,esophagus_muscularis_SM-CSSCV_1
ENC-1JKYN-066-SM-CSSD4_snATAC_omental_fat_pad_Rep1.demultiplexed.R1.fastq.gz.telo,adipose_omentum_SM-CSSD4_1
ENC-1K2DA-264-SM-CSSDA_snATAC_transverse_colon_Rep1.demultiplexed.R1.fastq.gz.telo,colon_transverse_SM-CSSDA_1
ENC-1K2DA-063-SM-CTD24_snATAC_gastroesophageal_sphincter_Rep1.demultiplexed.R1.fastq.gz.telo,esophagus_ge_junction_SM-CTD24_1
ENC-1LGRB-063-SM-IOBHJ_snATAC_omental_fat_pad_Rep1.demultiplexed.R1.fastq.gz.telo,adipose_omentum_SM-IOBHJ_1
ENC-1LGRB-335-SM-IOBHK_snATAC_tibial_artery_Rep1.demultiplexed.R1.fastq.gz.telo,artery_tibial_SM-IOBHK_1
ENC-1LGRB-217-SM-IOBHL_snATAC_breast_epithelium_Rep1.demultiplexed.R1.fastq.gz.telo,mammary_tissue_SM-IOBHL_1
ENC-1LGRB-168-SM-IOBHM_snATAC_esophagus_muscularis_mucosa_Rep1.demultiplexed.R1.fastq.gz.telo,esophagus_muscularis_SM-IOBHM_1
ENC-1LGRB-108-SM-IOBHN_snATAC_right_atrium_auricular_region_Rep1.demultiplexed.R1.fastq.gz.telo,heart_atrial_appendage_SM-IOBHN_1
ENC-1LGRB-133-SM-IOBHO_snATAC_heart_left_ventricle_Rep1.demultiplexed.R1.fastq.gz.telo,heart_lv_SM-IOBHO_1
ENC-1LGRB-322-SM-IOBHP_snATAC_gastrocnemius_medialis_Rep1.demultiplexed.R1.fastq.gz.telo,muscle_SM-IOBHP_1
ENC-1LGRB-354-SM-IOBHQ_snATAC_tibial_nerve_Rep1.demultiplexed.R1.fastq.gz.telo,nerve_tibial_SM-IOBHQ_1
ENC-1LGRB-279-SM-IOBHR_snATAC_ovary_Rep1.demultiplexed.R1.fastq.gz.telo,ovary_SM-IOBHR_1
ENC-1LGRB-047-SM-IOBHS_snATAC_body_of_pancreas_Rep1.demultiplexed.R1.fastq.gz.telo,pancreas_SM-IOBHS_1
ENC-1LGRB-127-SM-IOBHT_snATAC_suprapubic_skin_Rep1.demultiplexed.R1.fastq.gz.telo,skin_SM-IOBHT_1
ENC-1LGRB-316-SM-IOBHU_snATAC_lower_leg_skin_Rep1.demultiplexed.R1.fastq.gz.telo,skin_sun_exposed_SM-IOBHU_1
ENC-1LGRB-229-SM-IOBHV_snATAC_stomach_Rep1.demultiplexed.R1.fastq.gz.telo,stomach_SM-IOBHV_1
ENC-1LGRB-155-SM-IOBHW_snATAC_thyroid_Rep1.demultiplexed.R1.fastq.gz.telo,thyroid_SM-IOBHW_1
ENC-1LGRB-291-SM-IOBHX_snATAC_uterus_Rep1.demultiplexed.R1.fastq.gz.telo,uterus_SM-IOBHX_1
ENC-1LGRB-178-SM-IOERG_snATAC_gastroesophageal_sphincter_Rep1.demultiplexed.R1.fastq.gz.telo,esophagus_ge_junction_SM-IOERG_1
ENC-1JKYN-118-SM-IQYCP_snATAC_lower_leg_skin_Rep1.demultiplexed.R1.fastq.gz.telo,skin_sun_exposed_SM-IQYCP_1
ENC-1K2DA-084-SM-IQYD1_snATAC_esophagus_muscularis_mucosa_Rep1.demultiplexed.R1.fastq.gz.telo,esophagus_muscularis_SM-IQYD1_1
ENC-1JKYN-161-SM-JF1NP_snATAC_stomach_Rep1.demultiplexed.R1.fastq.gz.telo,stomach_SM-JF1NP_1
ENC-1K2DA-037-SM-JF1NS_snATAC_body_of_pancreas_Rep1.demultiplexed.R1.fastq.gz.telo,pancreas_SM-JF1NS_1
ENC-1K2DA-215-SM-JF1NT_snATAC_lower_leg_skin_Rep1.demultiplexed.R1.fastq.gz.telo,skin_sun_exposed_SM-JF1NT_1
ENC-1LVAN-162-SM-JF1NU_snATAC_thoracic_aorta_Rep1.demultiplexed.R1.fastq.gz.telo,artery_aorta_SM-JF1NU_1
ENC-1LVAN-168-SM-JF1NV_snATAC_breast_epithelium_Rep1.demultiplexed.R1.fastq.gz.telo,mammary_tissue_SM-JF1NV_1
ENC-1LVAN-191-SM-JF1NX_snATAC_right_atrium_auricular_region_Rep1.demultiplexed.R1.fastq.gz.telo,heart_atrial_appendage_SM-JF1NX_1
ENC-1LVAN-194-SM-JF1NY_snATAC_heart_left_ventricle_Rep1.demultiplexed.R1.fastq.gz.telo,heart_lv_SM-JF1NY_1
ENC-1LVAN-139-SM-JF1NZ_snATAC_upper_lobe_of_left_lung_Rep1.demultiplexed.R1.fastq.gz.telo,lung_SM-JF1NZ_1
ENC-1LVAN-064-SM-JF1O1_snATAC_suprapubic_skin_Rep1.demultiplexed.R1.fastq.gz.telo,skin_SM-JF1O1_1
ENC-1LVAN-276-SM-JF1O2_snATAC_peyer_s_patch_Rep1.demultiplexed.R1.fastq.gz.telo,small_intestine_SM-JF1O2_1
ENC-1LVAN-288-SM-JF1O3_snATAC_stomach_Rep1.demultiplexed.R1.fastq.gz.telo,stomach_SM-JF1O3_1
ENC-1LVAN-076-SM-JF1O4_snATAC_thyroid_Rep1.demultiplexed.R1.fastq.gz.telo,thyroid_SM-JF1O4_1
ENC-1JKYN-012-SM-JF1O6_snATAC_body_of_pancreas_Rep1.demultiplexed.R1.fastq.gz.telo,pancreas_SM-JF1O6_1
ENC-1JKYN-191-SM-JF1O8_snATAC_colon_sigmoid_Rep1.demultiplexed.R1.fastq.gz.telo,colon_sigmoid_SM-JF1O8_1
ENC-1JKYN-125-SM-JF1O9_snATAC_gastrocnemius_medialis_Rep1.demultiplexed.R1.fastq.gz.telo,muscle_SM-JF1O9_1
Islet1_CB.R1.fastq.gz.telo,Islet1_CB
Islet2_CB.R1.fastq.gz.telo,Islet2_CB
Islet3_CB.R1.fastq.gz.telo,Islet3_CB
